,별점,리뷰,추천 수,비추천 수
120,10,"IMF가 뭔지 모르고 자란 내 자신이 조금 부끄럽고 영화 보는 내내 시간가는 줄 모르게 우리나라 정치,경제가 어떻게 돌아갔었는지를 본 것 같다.. 씁쓸하지만 모두가 봐야할 영화 ",64,16
121,10,관람객돈의 흐름이나 경제를 모르는사람들을 일깨워주는영화 ,54,7
122,10,김혜수 유아인 조우진 연기 너무 좋았다 오랜만에 시간 순삭한 한국영화! ,97,50
123,1,이렇게 좋은 소재를 이따구로 밖에 못만들었다니....대한민국 역사의 공감대때문에 많은사람들이 빨아재끼는거지 정말 개연성없는 캐릭터들 시나리오 연출 너무 날로 먹었다 김혜수가 국가부도가 다가올수있다는 심각한걸 가족들한...,162,115
124,9,연기들을 잘해서 그런지 더 흥미롭게 본 것 같아요!! ,70,24
125,1,한시현 팀장(김혜수)이 생각하는 대안은 무엇인가? IMF 대신 일본인가? 대안 없는 비판과 편향되고 왜곡된 감성 정치극..특히 하버드 출신 모대기업 총수에 대한 의도적인 비아냥과 근거없는 부동산 위기 진단 장면은 감...,97,52
126,10,보고 듣고 깨우쳐야 할 것 같아요김혜수 유아인 조우진 다들 최선을 다해 알리고 싶어하신듯합니다이런영화를 만들어주셔서 감사합니다 ,56,12
127,6,IMF를 겪은 입장에서 보면... 한팀장은 그냥 정의감만 있는 능력없는 사람일뿐이라는 생각임. 위기를 파악은 하되 해결책은 내놓지 못하는 금융정책 팀장이라....만약 구제금융이 아니고 국가부도로 갔으면 여긴 헬조선이...,62,18
128,10,관람객배우들연기최고오오오 ,62,18
129,10,관람객저 시대 가장들 생각만해도... ,64,20
130,10,영화 끝나고나오는데 옆에 대학생들이 그러더라ㅠ 공포영화라구! 맞다... 당시에 얼마나 고통스러웠는지.. 국민을 개돼지로 아는 것들이 권력을 잡으면 국민만 죽어나간다. 이런저런 아쉬움은 있지만 개인적으론 좋았음!!! ,66,22
131,10,"갓혜수b 유아인은 조태오 같았음,,, 연기가 평면적 ",120,76
132,8,"김혜수님 처음부터 끝까지 놓칠 부분이없어요 ㅠㅠ 어쩜 그리 연기를 잘하시는지 ,, 너무너무좋았습니다! 갓혜수 짱!! ",67,24
133,6,경제학도 입장에서 보면 다큐멘터리같은 치밀함보단 막연한 선악구도의 영화.  대한민국 상업영화 공식으로 자리잡고 있는 엘리트층을 까부수는 서민 영웅 스토리  그 정도 의 영화. 그래도 시간가는줄 모르고 봤다. ,58,16
134,1,끔찍하다 역사를 영화로 배우고 그것이 사실인냥 쉽게 속고 분노하는 민족... 대학생 수준의 경제지식만 있어도 얼마나 왜곡이 심각한지 알 수 있겠더라 팩트에 관해 따로 공부하고 싶은 마음도 없겠지만 잘 모르겠으면 순전...,101,60
135,9,관람객재밌게 봤어요 그 시대에 실존했을 수도 있는 윤정학이 부럽네요 ,51,11
136,10,"빈틈없이 짜여진 시계장인이 만든듯 오차가 없는듯한 완벽한 영화 꼭봐야하는 띵작입니다!!! 김혜수, 허준호, 유아인 등등 배우진들 모두 연기 탑급입니다 1997년생으로서 꼭 봐야했으며 우리나라 근현대사에 대하여 자세히...",55,15
137,10,가슴 먹먹해지는 영화. 연기가 어쩜 이리 다 좋을 수가 있을까. ,55,15
138,10,대한민국인 이라면 반드시 봐야하는 영화.  그리고 배우들의 연기가 빛났다. ,50,11
139,10,배우들 연기도 좋고 몰입감 최고임 ,60,21
140,3,"배우들 연기는 당연히 나무랄게 없다. 김혜수, 유아인, 허준호 모두 프로 연기자로의  멋짐을 보여준다. 그런데  시나리오가 너무 허접하다. 누구나 과거의 안좋은 역사를 까는거는 쉽다.  IMF 간걸로 반미도 부추긴다...",89,50
141,10,김혜수와 유아인 표정연기가 정말 좋았다. ,95,56
142,1,난 진짜 영화리뷰 제일웃긴게 영화보고 지식쌓았다는 애들임 ㅋㅋㅋㅋ 무슨 imf를 미국이 일으켰다는 미친소리를 해대는 싸이코영화보고 지식을 얻긴 뭘 얻냐 ㅋㅋㅋㅋ ,86,48
143,10,배우들 연기가 정말좋고예전 IMF금모이기 생각이 나네요~!!의미있는영화네요 ,50,13
