공원명,주소,구,동,lat,lng
답십리근린공원,서울 동대문구 답십리동 산 2-9,동대문구,답십리동,37.57442934825028,127.06410067367963
대모산도시자연공원,서울 강남구 일원동 53-22,강남구,일원동,37.4798207668752,127.081321216711
탑골근린공원,서울 종로구 종로2가 38-1,종로구,종로2가,37.5711665541042,126.988345222457
갈산근린공원,인천 부평구 갈산동 166-1,부평구,갈산동,37.5188399338373,126.724408514569
천마근린공원,서울 송파구 마천동 산 1-5,송파구,마천동,37.4996636025811,127.157225481903
도곡근린공원,경기 남양주시 와부읍 도곡리 1114,남양주시,와부읍,37.5766086726864,127.220478653131
도산근린공원,서울 강남구 신사동 649-9,강남구,신사동,37.52455769460598,127.03528760485077
청량공원,울산 울주군 청량읍 상남리 893-1,울주군,청량읍,35.4830200465961,129.306672202393
초안산근린공원,서울 도봉구 창동 산 48-4,도봉구,창동,37.6482307581775,127.040638931429
동명근린공원,서울 강동구 고덕2동 229,강동구,고덕2동,37.5613463153383,127.164992543126
마로니에공원,서울 종로구 동숭동 1-124,종로구,동숭동,37.5802887643268,127.002825745303
자매근린공원,서울 영등포구 여의도동 56,영등포구,여의도동,37.5175732328357,126.930451679472
장지근린공원,서울 송파구 장지동 산 11,송파구,장지동,37.4896774878701,127.136412509302
